mineral name,chemistry,Al,B,Ca,Cr,K,Li,Mg,Mn,Na,Ni,O,Sc,Si,V,Fe2+,Fe3+,Zn,Ti4+,Ti3+,sum,a,b,c,β,volume,P,T,crystal system,space group,citation text,notes
Hedenbergite,Fe1.3 Ca.7 Si2 O6,0,0,0.7,0,0,0,0,0,0,0,6,0,2,0,1.3,0,0,0,0,10,9.819,9.056,5.242,105.61,448.931,,,monoclinic,C2/c,American Mineralogist 98 (2013) 1227-1234,Locality: synthetic
Burnettite,Ca1.04[(V3+0.29Sc0.24Ti3+0.13Al0.09)Ti4+0.12Mg0.08](Si1.01Al0.99)O6,1.08,0,1.04,0,0,0,0.08,0,0,0,6,0.24,1.01,0.29,0,0,0,0.12,0.13,9.99,9.8,8.85,5.36,105.62,447.704,,,monoclinic,C2/c,Lunar and Planetary Science 47 (2016) 1595-1595,Locality: Allende CV3 meteorite
Grossmanite,Ca1.00[(Ti+30.35Al0.18Sc0.01V+30.01)Mg0.25Ti+40.19](Si1.07Al0.93)O6,1.11,0,1,0,0,0,0.25,0,0,0,6,0.01,1.07,0.01,0,0,0,0.19,0.35,9.99,9.8,8.85,5.36,105.62,447.7,,,monoclinic,C2/c,American Mineralogist 94 (2009) 1491-1494,"Locality: Allende meteorite, Pueblito de Allende, Chihuahua, Mexico"
Diopside,(CaMg0.796Fe0.204)Si2O6,0,0,1,0,0,0,0.796,0,0,0,6,0,2,0,0.204,0,0,0,0,10,9.774,8.944,5.249,105.64,441.88,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 130
Diopside,(CaMg0.796Fe0.204)Si2O6,0,0,1,0,0,0,0.796,0,0,0,6,0,2,0,0.204,0,0,0,0,10,9.772,8.945,5.253,105.65,442.15,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 144A
Diopside,(CaMg0.796Fe0.204)Si2O6,0,0,1,0,0,0,0.796,0,0,0,6,0,2,0,0.204,0,0,0,0,10,9.771,8.946,5.253,105.66,442.08,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 160
Diopside,(Ca1Mg0.70Fe0.30)Si2O6,0,0,1,0,0,0,0.7,0,0,0,6,0,2,0,0.3,0,0,0,0,10,9.7755,8.955,5.251,105.67,443.1,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 30,50"
Diopside,(Mg.74 Fe.26) Ca Si2 O6,0,0,1,0,0,0,0.74,0,0,0,6,0,2,0,0.26,0,0,0,0,10,9.773,8.9523,5.2524,105.676,442.444,,,monoclinic,C2/c,The Canadian Mineralogist 28 (1990) 93-109,
Diopside,(CaMg0.921Fe0.079)Si2O6,0,0,1,0,0,0,0.921,0,0,0,6,0,2,0,0.079,0,0,0,0,10,9.767,8.936,5.246,105.68,440.84,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 129A
Diopside,CaMg0.8209Fe0.1791Si2O6,0,0,1,0,0,0,0.821,0,0,0,6,0,2,0,0.179,0,0,0,0,10,9.765,8.941,5.25,105.68,441.32,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di82.09Hd17.91
Diopside,(Ca1Mg0.80Fe0.20)Si2O6,0,0,1,0,0,0,0.8,0,0,0,6,0,2,0,0.2,0,0,0,0,10,9.771,8.947,5.25,105.68,442,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 20,50"
Diopside,Ca.752 Mg.749 K.23 Al.301 Si1.968 O6,0.301,0,0.752,0,0.23,0,0.749,0,0,0,6,0,1.968,0,0,0,0,0,0,10,9.803,8.985,5.263,105.69,446.292,,,monoclinic,C2/c,European Journal of Mineralogy 14 (2002) 929-934,
Diopside,(CaMg0.861Fe0.139)Si2O6,0,0,1,0,0,0,0.861,0,0,0,6,0,2,0,0.139,0,0,0,0,10,9.77,8.943,5.252,105.69,441.75,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 190
Augite,(Ca0.80Mg0.30Fe0.90)Si2O6,0,0,0.8,0,0,0,0.3,0,0,0,6,0,2,0,0.9,0,0,0,0,10,9.797,9.002,5.243,105.7,445.2,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 75,40"
Diopside,(Mg.82 Fe.18) Ca Si2 O6,0,0,1,0,0,0,0.82,0,0,0,6,0,2,0,0.18,0,0,0,0,10,9.7634,8.9488,5.2504,105.726,441.56,,,monoclinic,C2/c,The Canadian Mineralogist 28 (1990) 93-109,
Diopside,(CaMg0.921Fe0.079)Si2O6,0,0,1,0,0,0,0.921,0,0,0,6,0,2,0,0.079,0,0,0,0,10,9.775,8.936,5.244,105.74,440.91,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 137
Augite,Ca.61 Fe.13 Mg.43 Mn.01 K.17 Na.05 Al Si1.61 O6,1,0,0.61,0,0.17,0,0.43,0.01,0.05,0,6,0,1.61,0,0.13,0,0,0,0,10.01,9.773,8.926,5.269,105.75,442.378,,,monoclinic,C2/c,American Mineralogist 88 (2003) 464-468,
Diopside,(Ca1.00Mg0.90Fe0.10)Si2O6,0,0,1,0,0,0,0.9,0,0,0,6,0,2,0,0.1,0,0,0,0,10,9.762,8.936,5.249,105.75,441,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 10,50"
Diopside,(CaMg0.921Fe0.079)Si2O6,0,0,1,0,0,0,0.921,0,0,0,6,0,2,0,0.079,0,0,0,0,10,9.772,8.934,5.253,105.76,441.32,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 159
Diopside,CaMg0.9116Fe0.0884Si2O6,0,0,1,0,0,0,0.912,0,0,0,6,0,2,0,0.088,0,0,0,0,10,9.759,8.934,5.254,105.77,440.86,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di91.16Hd8.84
Diopside,CaMgSi2O6,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,10,9.748,8.924,5.251,105.79,439.48,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di100
Diopside,(CaMg)Si2O6,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,10,9.75,8.927,5.254,105.79,439.99,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 170
Petedunnite,Ca Zn Si2 O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,10,9.8243,8.9939,5.2608,105.794,447.289,,,monoclinic,C2/c,Physics and Chemistry of Minerals 32 (2005) 552-563,
Esseneite,Fe.61 Al1.34 Ca.97 Si1.08 O6,1.34,0,0.97,0,0,0,0,0,0,0,6,0,1.08,0,0.11,0.5,0,0,0,10,9.79,8.822,5.37,105.81,446.248,,,monoclinic,C2/c,American Mineralogist 72 (1987) 148-156,
Diopside,(CaMg0.941Fe0.059)Si2O6,0,0,1,0,0,0,0.941,0,0,0,6,0,2,0,0.059,0,0,0,0,10,9.757,8.937,5.245,105.82,440.05,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 191
Diopside,(Ni.74 Mg.26) Ca Si2 O6,0,0,1,0,0,0,0.26,0,0,0.74,6,0,2,0,0,0,0,0,0,10,9.7372,8.8986,5.2313,105.826,436.097,,,monoclinic,C2/c,American Mineralogist 75 (1990) 1274-1281,
Diopside,Ni Ca Si2 O6,0,0,1,0,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,10,9.7359,8.8932,5.2284,105.83,435.524,,,monoclinic,C2/c,American Mineralogist 75 (1990) 1274-1281,
Diopside,(CaMg)Si2O6,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,10,9.755,8.926,5.241,105.84,439.04,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 98C
Diopside,(CaMg)Si2O6,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,10,9.754,8.933,5.252,105.84,440.22,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 222
Diopside,(Ni.45 Mg.55) Ca Si2 O6,0,0,1,0,0,0,0.55,0,0,0.45,6,0,2,0,0,0,0,0,0,10,9.739,8.9094,5.2375,105.848,437.177,,,monoclinic,C2/c,American Mineralogist 75 (1990) 1274-1281,
Diopside,(Ni.22 Mg.78) Ca Si2 O6,0,0,1,0,0,0,0.78,0,0,0.22,6,0,2,0,0,0,0,0,0,10,9.7393,8.9095,5.2418,105.85,437.55,,,monoclinic,C2/c,American Mineralogist 75 (1990) 1274-1281,
Diopside,(CaMg)Si2O6,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,10,9.7485,8.931,5.249,105.85,439.6,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 0,50"
Davisite,Sc Ca (Al Si) O6,1,0,1,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,10,9.884,8.988,5.446,105.86,465.391,,,monoclinic,C2/c,"Journal of the Japanese Association of Mineralogists, Petrologists and Economic Geologists 73 (1978)",Locality: synthetic
Diopside,Si2 Mg Ca O6,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,10,9.7456,8.9198,5.2516,105.86,439.137,1 atm,,monoclinic,C2/c,American Mineralogist 66 (1981) 315-323,
Diopside,Mg Ca Si2 O6,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,10,9.7397,8.9174,5.2503,105.866,438.631,1 atm,,monoclinic,C2/c,American Mineralogist 93 (2008) 177-186,"Locality: DeKalb, New York"
Augite,(Ca0.80Mg0.48Fe0.72)Si2O6,0,0,0.8,0,0,0,0.48,0,0,0,6,0,2,0,0.72,0,0,0,0,10,9.781,8.982,5.244,105.87,443.2,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 60,40"
Hedenbergite,(Na.24 Ca.76) (Al.24 Fe.76) Si2 O6,0.24,0,0.76,0,0,0,0,0,0.24,0,6,0,2,0,0.76,0,0,0,0,10,9.734,8.9103,5.2682,105.904,439.436,,,monoclinic,C2/c,American Mineralogist 92 (2007) 1492-1501,Locality: synthetic
Augite,(Ca0.70Mg0.195Fe1.105)Si2O6,0,0,0.7,0,0,0,0.195,0,0,0,6,0,2,0,1.105,0,0,0,0,10,9.8,9.03,5.244,105.92,446.3,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 85,35"
Hedenbergite,Fe1.4 Ca.6 Si2 O6,0,0,0.6,0,0,0,0,0,0,0,6,0,2,0,1.4,0,0,0,0,10,9.806,9.068,5.238,105.92,447.903,,,monoclinic,C2/c,American Mineralogist 98 (2013) 1227-1234,Locality: synthetic
