mineral,Vac,Al,B,Ba,Ca,Cs,Fe3+,K,Mg,Mn2+,Na,O,Rb,Si,Sr,Ti4+,Sum,a,b,c,alpha,beta,gamma,V,crystal system,space group,reference
Albite,0.01,1.22,0,0,0.22,0,0,0,0,0,0.77,8,0,2.78,0,0,13,8.1615,12.8396,7.1332,93.85,116.45,89.017,667.668,triclinic,,R070268
Albite,0,1.004,0,0,0,0,0,0,0,0,1,8,0,2.994,0,0,12.998,8.142,12.785,7.159,94.19,116.61,87.68,664.477,triclinic,C1,American Mineralogist 65 (1980) 986-995
Albite,0,1.03,0,0,0.01,0,0,0,0,0,0.99,8,0,2.97,0,0,13,8.135,12.784,7.1594,94.271,116.594,87.717,663.922,triclinic,,R040068
Albite,0,1.03,0,0,0.01,0,0,0,0,0,0.99,8,0,2.97,0,0,13,8.1365,12.788,7.1584,94.228,116.583,87.704,664.257,triclinic,,R050253
Anorthite,0,1.53,0,0,0.53,0,0,0.03,0,0,0.44,8,0,2.47,0,0,13,8.1789,12.866,7.1117,93.531,116.246,89.92,669.655,triclinic,,R060275
Anorthite,0,1.687,0,0,0.687,0,0,0.002,0,0,0.311,8,0,2.313,0,0,13,8.175,12.865,7.102,93.5,116.14,90.31,668.846,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.77,0,0,0.77,0,0,0.003,0,0,0.227,8,0,2.23,0,0,13,8.18,12.869,7.096,93.38,116.13,90.63,668.905,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0.03,1.62,0,0,0.65,0,0,0,0,0,0.32,8,0,2.38,0,0,13,8.1736,12.8736,7.1022,93.462,116.054,90.475,669.647,triclinic,C1,American Mineralogist 65 (1980) 81-95
Anorthite,0,1.6,0,0,0.6,0,0,0.02,0,0,0.38,8,0,2.4,0,0,13,8.182,12.87,7.108,93.47,116.16,90.1,670.3,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.6,0,0,0.6,0,0,0.01,0,0,0.39,8,0,2.4,0,0,13,8.176,12.856,7.105,93.5,116.2,90.07,668.4,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.71,0,0,0.71,0,0,0.01,0,0,0.28,8,0,2.29,0,0,13,8.181,12.871,7.104,93.43,116.15,90.43,669.8,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.67,0,0,0.67,0,0,0.01,0,0,0.32,8,0,2.33,0,0,13,8.18,12.873,7.104,93.46,116.13,90.4,669.9,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.6,0,0,0.6,0,0,0.02,0,0,0.38,8,0,2.4,0,0,13,8.178,12.876,7.103,93.44,116.06,90.45,670.2,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.6,0,0,0.6,0,0,0.01,0,0,0.39,8,0,2.4,0,0,13,8.172,12.875,7.102,93.46,116.06,90.47,669.5,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.71,0,0,0.71,0,0,0.01,0,0,0.28,8,0,2.29,0,0,13,8.18,12.88,7.102,93.45,116.01,90.56,670.7,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.67,0,0,0.67,0,0,0.01,0,0,0.32,8,0,2.33,0,0,13,8.177,12.877,7.101,93.45,116.01,90.55,670.3,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.5,0,0,0.5,0,0,0.03,0,0,0.47,8,0,2.5,0,0,13,8.1749,12.859,7.1125,93.52,116.245,89.93,669.051,triclinic,,R050104
Anorthite,0,1.58,0,0,0.58,0,0,0.02,0,0,0.4,8,0,2.42,0,0,13,8.1753,12.8785,7.1058,93.42,116.097,90.416,670.201,triclinic,,R060082
Anorthite,0,1.8,0,0,0.8,0,0,0,0,0,0.2,8,0,2.2,0,0,13,8.171,12.872,7.092,93.55,116.17,89.97,667.868,triclinic,,R070510
Anorthite,0,1.538,0,0,0.538,0,0,0.01,0,0,0.452,8,0,2.462,0,0,13,8.173,12.855,7.11,93.58,116.23,89.79,668.537,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.581,0,0,0.581,0,0,0.012,0,0,0.407,8,0,2.419,0,0,13,8.18,12.87,7.109,93.52,116.2,90.04,669.928,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.537,0,0,0.537,0,0,0.008,0,0,0.455,8,0,2.463,0,0,13,8.169,12.862,7.108,93.58,116.22,89.81,668.436,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.543,0,0,0.543,0,0,0.01,0,0,0.447,8,0,2.457,0,0,13,8.172,12.861,7.107,93.52,116.22,90.03,668.506,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.598,0,0,0.598,0,0,0.002,0,0,0.4,8,0,2.402,0,0,13,8.173,12.862,7.107,93.56,116.19,89.98,668.797,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.69,0,0,0.69,0,0,0.007,0,0,0.303,8,0,2.31,0,0,13,8.179,12.869,7.102,93.49,116.16,90.36,669.251,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.731,0,0,0.731,0,0,0.006,0,0,0.263,8,0,2.269,0,0,13,8.181,12.87,7.099,93.41,116.1,90.55,669.509,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.819,0,0,0.819,0,0,0,0,0,0.181,8,0,2.181,0,0,13,8.181,12.871,7.096,93.34,116.1,90.79,669.212,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.8,0,0,0.8,0,0,0.002,0,0,0.198,8,0,2.2,0,0,13,8.179,12.868,7.093,93.34,116.08,90.8,668.719,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
