mineral,Vac,Al,B,Ca,Cr3+,Cr2+,Fe2+,Fe3+,H,K,Li,Mg,Mn2+,Mn3+,Na,Ni,O,Sc,Si,Ti4+,Ti3+,V,Zn,sum,a,b,c,beta,V,reference
Diopside,0,0.301,0,0.752,0,0,0,0,0,0.23,0,0.749,0,0,0,0,6,0,1.968,0,0,0,0,10,9.803,8.985,5.263,105.69,446.292,European Journal of Mineralogy 14 (2002) 929-934
Hedenbergite,0,0,0,1,0,0,0.523,0,0,0,0,0.477,0,0,0,0,6,0,2,0,0,0,0,10,9.802,8.976,5.254,105.4,445.69,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,1,0,0,0.523,0,0,0,0,0.477,0,0,0,0,6,0,2,0,0,0,0,10,9.801,8.974,5.248,105.46,444.92,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,0.7,0,0,1.105,0,0,0,0,0.195,0,0,0,0,6,0,2,0,0,0,0,10,9.8,9.03,5.244,105.92,446.3,American Mineralogist 58 (1973) 50-59
Grossmanite,0,1.11,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,6,0.01,1.07,0.19,0.35,0.01,0,9.99,9.8,8.85,5.36,105.62,447.7,American Mineralogist 94 (2009) 1491-1494
Burnettite,0,1.08,0,1.04,0,0,0,0,0,0,0,0.08,0,0,0,0,6,0.24,1.01,0.12,0.13,0.29,0,9.99,9.8,8.85,5.36,105.62,447.704,Lunar and Planetary Science 47 (2016) 1595-1595
Augite,0,0,0,0.8,0,0,0.9,0,0,0,0,0.3,0,0,0,0,6,0,2,0,0,0,0,10,9.797,9.002,5.243,105.7,445.2,American Mineralogist 58 (1973) 50-59
Petedunnite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,10,9.7955,8.9781,5.251,106.033,443.836,Acta Crystallographica C61 (2005) i20-i22
Diopside,0,0,0,1,0,0,0.5,0,0,0,0,0.5,0,0,0,0,6,0,2,0,0,0,0,10,9.7955,8.9725,5.252,105.49,445.4,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,0.75,0,0,0.75,0.25,0,0,0,0,0,0,0.25,0,6,0,2,0,0,0,0,10,9.7951,8.9698,5.2634,105.523,445.574,European Journal of Mineralogy 12 (2000) 105-120
Diopside,0,0,0,1,0,0,0.48,0,0,0,0,0.52,0,0,0,0,6,0,2,0,0,0,0,10,9.795,8.979,5.2545,105.5,445.322,The Canadian Mineralogist 28 (1990) 93-109
Augite,0,0,0,1,0,0,0.411,0,0,0,0,0.589,0,0,0,0,6,0,2,0,0,0,0,10,9.794,8.963,5.249,105.48,444,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,1,0,0,0.411,0,0,0,0,0.589,0,0,0,0,6,0,2,0,0,0,0,10,9.794,8.966,5.257,105.47,444.94,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,0.742,0,0,0.742,0.258,0,0,0,0,0,0,0.258,0,6,0,2,0,0,0,0,10,9.7938,8.9685,5.2632,105.52,445.44,American Mineralogist 91 (2006) 1271-1292
Ferrosilite,0,0,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.793,9.078,5.238,106.27,447.014,American Mineralogist 98 (2013) 1227-1234
Diopside,0,0,0,1,0,0,0.368,0,0,0,0,0.632,0,0,0,0,6,0,2,0,0,0,0,10,9.793,8.962,5.254,105.5,444.28,Mineralogical Magazine 37 (1969) 216-229
Hedenbergite,0,0,0,0.758,0,0,0.758,0.242,0,0,0,0,0,0,0.242,0,6,0,2,0,0,0,0,10,9.7929,8.9656,5.2696,105.496,445.848,American Mineralogist 91 (2006) 1271-1292
Augite,0,0,0,0.7,0,0,0.975,0,0,0,0,0.325,0,0,0,0,6,0,2,0,0,0,0,10,9.791,9.001,5.242,106.02,444,American Mineralogist 58 (1973) 50-59
Augite,0,0,0,1,0,0,0.411,0,0,0,0,0.589,0,0,0,0,6,0,2,0,0,0,0,10,9.789,8.96,5.251,105.49,443.85,American Mineralogist 54 (1969) 238-245
Diopside,0,0.85,0,1.01,0,0,0,0.74,0,0,0,0.16,0,0,0.01,0,6,0,1.19,0.03,0,0,0,9.99,9.786,8.86,5.338,105.87,445.185,European Journal of Mineralogy 9 (1997) 617-621
Hedenbergite,0,0,0,0.685,0,0,0.685,0.315,0,0,0,0,0,0,0.315,0,6,0,2,0,0,0,0,10,9.784,8.953,5.268,105.6,444.45,Mineralogical Magazine 37 (1969) 216-229
Diopside,0,0,0,1,0,0,0.283,0,0,0,0,0.717,0,0,0,0,6,0,2,0,0,0,0,10,9.782,8.96,5.243,105.59,442.66,American Mineralogist 54 (1969) 238-245
Diopside,0,0,0,1,0,0,0.283,0,0,0,0,0.717,0,0,0,0,6,0,2,0,0,0,0,10,9.782,8.952,5.255,105.6,443.23,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,0.8,0,0,0.72,0,0,0,0,0.48,0,0,0,0,6,0,2,0,0,0,0,10,9.781,8.982,5.244,105.87,443.2,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.781,9.072,5.246,106.6,446.094,American Mineralogist 60 (1975) 423-434
Diopside,0,0,0,1,0,0,0.272,0,0,0,0,0.728,0,0,0,0,6,0,2,0,0,0,0,10,9.78,8.954,5.253,105.59,443.08,Mineralogical Magazine 37 (1969) 216-229
Diopside,0,0,0,1,0,0,0.3,0,0,0,0,0.7,0,0,0,0,6,0,2,0,0,0,0,10,9.7755,8.955,5.251,105.67,443.1,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0,1,0,0,0.079,0,0,0,0,0.921,0,0,0,0,6,0,2,0,0,0,0,10,9.775,8.936,5.244,105.74,440.91,American Mineralogist 54 (1969) 238-245
Diopside,0,0,0,1,0,0,0.204,0,0,0,0,0.796,0,0,0,0,6,0,2,0,0,0,0,10,9.774,8.944,5.249,105.64,441.88,American Mineralogist 54 (1969) 238-245
Augite,0,1,0,0.61,0,0,0.13,0,0,0.17,0,0.43,0.01,0,0.05,0,6,0,1.61,0,0,0,0,10.01,9.773,8.926,5.269,105.75,442.378,American Mineralogist 88 (2003) 464-468
