mineral,Ca,Co2+,Fe2+,Mg,Mn2+,Ni,Zn,O,Si,a,b,c,V,space group,reference
Forsterite,0,0,0,2,0,0,0,4,1,4.754,10.1971,5.9806,289.92,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215"
Forsterite,0,0,0,2,0,0,0,4,1,4.7545,10.2,5.9814,290.08,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0,0,0,2,0,0,0,4,1,4.7548,10.196,5.9823,290.02,Pbnm,European Journal of Mineralogy 24 (2012) 935-956
Forsterite,0,0,0,2,0,0,0,4,1,4.7549,10.1976,5.9824,290.08,Pbnm,American Mineralogist 58 (1973) 998-1008
Forsterite,0,0,0,2,0,0,0,4,1,4.755,10.196,5.973,289.6,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0,2,0,0,0,4,1,4.7553,10.196,5.9822,290.06,Pbnm,European Journal of Mineralogy 24 (2012) 935-956
Forsterite,0,0,0,2,0,0,0,4,1,4.7553,10.1977,5.982,290.09,Pbnm,Geochemical Journal 2 (1968) 51-59
Forsterite,0,0,0,2,0,0,0,4,1,4.75534,10.20141,5.98348,290.266,Pnma,Journal of Applied Crystallography 32 (1999) 51-59
Forsterite,0,0,0,2,0,0,0,4,1,4.75534,10.20141,5.98348,290.266,Pnma,Journal of Applied Crystallography 32 (1999) 51-59
Forsterite,0,0,0,2,0,0,0,4,1,4.75534,10.20141,5.98348,290.266,Pbnm,Journal of Applied Crystallography 32 (1999) 51-59
Forsterite,0,0,0,2,0,0,0,4,1,4.7554,10.197,5.9822,290.08,Pbnm,European Journal of Mineralogy 24 (2012) 935-956
Forsterite,0,0,0,2,0,0,0,4,1,4.7555,10.1196,5.9827,290.18,Pbnm,American Mineralogist 58 (1973) 998-1008
Forsterite,0,0,0.02,1.98,0,0,0,4,1,4.7555,10.1999,5.9816,290.14,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215"
Forsterite,0,0,0,2,0,0,0,4,1,4.7558,10.1965,5.9817,290.068,,R040052
Forsterite,0,0,0,2,0,0,0,4,1,4.756,10.207,5.98,290.296,Pbnm,American Mineralogist 58 (1973) 588-593
Forsterite,0,0,0.4,1.6,0,0,0,4,1,4.756,10.233,6.004,292.2,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.31,1.69,0,0,0,4,1,4.756,10.224,6.004,291.9,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.31,1.69,0,0,0,4,1,4.756,10.222,6.002,291.8,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.04,1.96,0,0,0,4,1,4.7563,10.2026,5.9842,290.39,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215"
Forsterite,0.001,0,0.002,1.918,0.079,0,0,4,1,4.757,10.219,5.993,291.3,Pbnm,American Mineralogist 70 (1985) 568-575
Forsterite,0,0,0.5,1.5,0,0,0,4,1,4.757,10.24,6.007,292.6,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.4,1.6,0,0,0,4,1,4.757,10.234,6.005,292.3,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.092,1.904,0.004,0,0,4,1,4.757,10.2067,5.987,290.68,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0,0,0.06,1.94,0,0,0,4,1,4.7571,10.2053,5.9831,290.47,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215"
Forsterite,0.045,0,0,1.955,0,0,0,4,1,4.7575,10.2144,5.99,291.08,Pbnm,American Mineralogist 58 (1973) 998-1008
Forsterite,0,0,0.08,1.92,0,0,0,4,1,4.7578,10.2085,5.9857,290.72,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215"
